epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,39088,1.12048,1.68167,1.30379,0.54298,0.35874,0.3869,0.25946,1.18313,6.39682,1.27105,8.0332e-05,8.0332e-05,8.0332e-05
42,39903,1.10311,1.62324,1.28209,0.60182,0.37095,0.43137,0.28803,1.1823,6.60848,1.27539,7.90153e-05,7.90153e-05,7.90153e-05
43,42213.3,1.07985,1.61659,1.28932,0.6308,0.30782,0.38062,0.26596,1.15196,6.06012,1.24337,7.76986e-05,7.76986e-05,7.76986e-05
44,43027.8,1.08493,1.58943,1.28011,0.59535,0.37909,0.43468,0.29325,1.16561,6.03835,1.26786,7.63819e-05,7.63819e-05,7.63819e-05
45,43844.4,1.06949,1.58327,1.27475,0.62548,0.34074,0.40729,0.28131,1.17591,5.90691,1.27281,7.50652e-05,7.50652e-05,7.50652e-05
46,44651.9,1.05492,1.51774,1.26095,0.67561,0.33361,0.42616,0.30425,1.17551,5.72562,1.25551,7.37485e-05,7.37485e-05,7.37485e-05
47,45457.9,1.07157,1.5257,1.25684,0.50765,0.38764,0.42523,0.29077,1.16179,5.54054,1.2568,7.24318e-05,7.24318e-05,7.24318e-05
48,46272.4,1.06785,1.49434,1.26303,0.53881,0.38201,0.39913,0.2678,1.17599,5.53665,1.26092,7.11151e-05,7.11151e-05,7.11151e-05
49,47082.6,1.07366,1.51991,1.26957,0.54657,0.40865,0.41238,0.2868,1.171,6.26789,1.25898,6.97984e-05,6.97984e-05,6.97984e-05
50,47893.1,1.07699,1.49617,1.25909,0.56186,0.41843,0.44199,0.30405,1.17504,5.19048,1.26761,6.84817e-05,6.84817e-05,6.84817e-05
51,48705.5,1.03484,1.44525,1.24107,0.54644,0.40551,0.4033,0.28749,1.16338,5.07205,1.26865,6.7165e-05,6.7165e-05,6.7165e-05
52,49520.4,1.04163,1.47446,1.24737,0.56981,0.43595,0.42582,0.28888,1.19903,5.14827,1.27876,6.58483e-05,6.58483e-05,6.58483e-05
53,50338.3,1.02866,1.43628,1.24233,0.61507,0.3671,0.41881,0.29635,1.1897,5.08128,1.28444,6.45316e-05,6.45316e-05,6.45316e-05
54,52843.5,1.0319,1.41274,1.24162,0.55907,0.39632,0.41724,0.29531,1.15399,4.70063,1.26515,6.32149e-05,6.32149e-05,6.32149e-05
55,53650.2,1.01657,1.39026,1.23549,0.54603,0.42146,0.41524,0.28616,1.1635,4.79345,1.25834,6.18982e-05,6.18982e-05,6.18982e-05
56,54499.7,1.03513,1.37793,1.23931,0.65296,0.38743,0.42354,0.29679,1.17778,4.71522,1.28014,6.05815e-05,6.05815e-05,6.05815e-05
57,55322.8,1.01178,1.39761,1.23427,0.71952,0.37064,0.44028,0.3138,1.14465,4.79186,1.24007,5.92648e-05,5.92648e-05,5.92648e-05
58,56169.2,1.04388,1.37808,1.24003,0.69934,0.35901,0.43756,0.30045,1.16535,4.54162,1.26328,5.79481e-05,5.79481e-05,5.79481e-05
